,category3_new,cat_id
0,小百货,0
1,干货店,1
2,零食店,2
3,大卖场,3
4,非连锁西式快餐店,4
5,社区团购,5
6,书报亭,6
7,甜品店,7
8,玩具店,8
9,士多,9
10,早餐店,10
11,非连锁中式快餐店,11
12,食杂店,12
13,便利店,13
14,日杂店,14
15,家居生活馆,15
16,母婴用品店,16
17,送水站,17
18,批零,18
19,文具店,19
20,烟酒茶店,20
21,洗衣店,21
22,小超市,22
23,中餐厅,23
24,洗浴棋牌室,24
25,咖啡厅,25
26,公众体育场馆,26
27,酒店宾馆,27
28,粮油店,28
29,自动售卖机,29
30,休闲茶饮店,30
31,小吃店,31
32,自助餐,32
33,化妆品集合连锁店,33
34,烧烤店,34
35,连锁中式快餐店,35
36,化妆品店,36
37,宠物医院,37
38,酒吧,38
39,东南亚餐厅,39
40,水果店,40
41,书店,41
42,网吧,42
43,便利超市,43
44,连锁药店,44
45,大超市,45
46,日韩餐厅,46
47,肉菜店,47
48,面包店,48
49,影剧院,49
50,西餐厅,50
51,KTV,51
52,烟酒茶批发店,52
53,宠物用品店,53
54,冻品批发店,54
55,企业食堂,55
56,果蔬批发店,56
57,体育用品店,57
58,生鲜批发店,58
59,火锅店,59
60,月子中心,60
61,日用品批发店,61
62,儿童用品店,62
63,连锁西式快餐店,63
64,食杂批发店,64
65,舞厅,65
66,学校食堂,66
67,夜总会,67
68,免税品店,68
